ts,stage,wait,active,delayed,prioritized,failed,pg_connections
2026-09-22T21:15:33.601Z,50vu,0,0,8,0,0,13
2026-09-22T21:15:49.229Z,50vu,0,0,8,0,0,2
2026-09-22T21:16:04.702Z,50vu,0,0,8,0,0,4
2026-09-22T21:16:20.260Z,50vu,0,0,8,0,0,1
2026-09-22T21:16:35.723Z,50vu,0,0,8,0,0,4
2026-09-22T21:16:51.241Z,50vu,0,0,8,0,0,7
2026-09-22T21:17:06.789Z,50vu,0,0,8,0,0,3
2026-09-22T21:17:22.519Z,50vu,0,0,8,0,0,2
2026-09-22T21:17:38.043Z,50vu,0,0,8,0,0,16
2026-09-22T21:17:53.566Z,50vu,0,0,8,0,0,1
2026-09-22T21:18:09.277Z,50vu,0,0,8,0,0,3
2026-09-22T21:18:24.833Z,50vu,0,0,8,0,0,1
