ts,stage,node,cpu_millicores,mem_mib
2026-09-22T21:15:33.601Z,50vu,1-nodes,360,2621
2026-09-22T21:15:49.229Z,50vu,1-nodes,526,2651
2026-09-22T21:16:04.702Z,50vu,1-nodes,2195,2471
2026-09-22T21:16:20.260Z,50vu,1-nodes,952,2605
2026-09-22T21:16:35.723Z,50vu,1-nodes,1538,2110
2026-09-22T21:16:51.241Z,50vu,1-nodes,1490,2587
2026-09-22T21:17:06.789Z,50vu,1-nodes,1007,2652
2026-09-22T21:17:22.519Z,50vu,1-nodes,693,2264
2026-09-22T21:17:38.043Z,50vu,1-nodes,1302,2640
2026-09-22T21:17:53.566Z,50vu,1-nodes,1457,2161
2026-09-22T21:18:09.277Z,50vu,1-nodes,245,2165
2026-09-22T21:18:24.833Z,50vu,1-nodes,267,2155
